part_number,unit_price,currency,price_list_id,effective_from,effective_to,discount_pct
PSA-4254.22,850,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-4249.34,1450,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-5271.E5,2200,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-5040.R0,980,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-4254.68,720,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-1109.CK,180,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-V861.7B,3850,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-1007.49,1120,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-5970.98,420,EGP,STANDARD-2026,2026-01-01,2026-12-31,5
PSA-1201.G9,2600,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-6216.E0,5800,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-6351.HH,2100,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-5978.P0,6400,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-5983.F5,4200,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-7104.GG,3300,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-8231.PN,1850,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-7111.LN,2400,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-1444.TJ,240,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-9809.72,310,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-1906.E6,520,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-1330.Q1,4900,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-1336.X2,380,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-2150.CW,5400,EGP,STANDARD-2026,2026-01-01,2026-12-31,10
PSA-2313.H6,1280,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-4048.L7,640,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-4062.R4,3800,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-1731.AN,8900,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-1726.S4,2950,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-6438.JA,210,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
PSA-1608.F9,2750,EGP,STANDARD-2026,2026-01-01,2026-12-31,0
