part_number,quantity_available,quantity_atp,source_location,replenishment_eta
PSA-4254.22,10000,40000,Cairo Main DC,
PSA-4249.34,12,10,Cairo Main DC,6/10/2026
PSA-5271.E5,0,0,Cairo Main DC,6/25/2026
PSA-5040.R0,3,2,Alexandria DC,6/18/2026
PSA-4254.68,75,75,Cairo Main DC,
PSA-1109.CK,220,210,Cairo Main DC,
PSA-V861.7B,0,0,Cairo Main DC,
PSA-1007.49,8,6,Alexandria DC,7/5/2026
PSA-5970.98,156,150,Cairo Main DC,
PSA-1201.G9,0,0,Cairo Main DC,6/30/2026
PSA-6216.E0,1,1,Alexandria DC,8/1/2026
PSA-6351.HH,22,20,Cairo Main DC,
PSA-5978.P0,0,0,Cairo Main DC,
PSA-5983.F5,5,4,Alexandria DC,6/22/2026
PSA-7104.GG,2,2,Cairo Main DC,7/15/2026
PSA-8231.PN,18,16,Cairo Main DC,
PSA-7111.LN,0,0,Cairo Main DC,
PSA-1444.TJ,310,300,Cairo Main DC,
PSA-9809.72,180,175,Cairo Main DC,
PSA-1906.E6,65,60,Cairo Main DC,
PSA-1330.Q1,4,3,Alexandria DC,6/28/2026
PSA-1336.X2,0,0,Cairo Main DC,9/10/2026
PSA-2150.CW,9,7,Cairo Main DC,
PSA-2313.H6,0,0,Cairo Main DC,
PSA-4048.L7,42,40,Cairo Main DC,
PSA-4062.R4,0,0,Alexandria DC,7/20/2026
PSA-1731.AN,1,1,Cairo Main DC,8/15/2026
PSA-1726.S4,11,10,Cairo Main DC,
PSA-6438.JA,200,195,Cairo Main DC,
PSA-1608.F9,28,25,Alexandria DC,
